N,P,K,pH,soil_moisture,temperature,stress_type
14.0,76.0,20.0,7.042474679,31,18.4,nitrogen_deficiency
36.0,65.0,16.0,7.692013657,16,18.39,potassium_deficiency
28.0,67.0,21.0,6.250994223,87,18.42,healthy
28.0,79.0,16.0,6.052184881,4,18.44,potassium_deficiency
40.0,61.0,22.0,7.002216044,54,18.52,healthy
10.0,70.0,19.0,7.272427638,11,18.59,nitrogen_deficiency
12.0,80.0,19.0,5.962001484,41,18.64,nitrogen_deficiency
37.0,77.0,20.0,7.080506001,89,18.69,healthy
0.0,67.0,22.0,6.593798387,2,18.82,nitrogen_deficiency
7.0,73.0,25.0,7.28805662,76,18.94,nitrogen_deficiency
10.0,56.0,18.0,7.32710972,29,18.94,nitrogen_deficiency
39.0,70.0,15.0,6.366355781,9,18.93,potassium_deficiency
26.0,56.0,22.0,7.011121216,67,18.96,healthy
9.0,77.0,17.0,6.280725549,78,18.99,nitrogen_deficiency
4.0,59.0,19.0,7.621494566,12,18.84,nitrogen_deficiency
34.0,73.0,15.0,7.630424083,22,18.7,potassium_deficiency
33.0,77.0,15.0,7.802212437,40,18.59,potassium_deficiency
2.0,24.0,38.0,5.922935513,85,18.48,nitrogen_deficiency
6.0,18.0,37.0,5.937649578,54,18.37,nitrogen_deficiency
8.0,26.0,36.0,6.804781106,76,18.26,nitrogen_deficiency
37.0,18.0,39.0,6.424670614,30,18.02,phosphorus_deficiency
0.0,27.0,38.0,6.738016221,28,17.79,nitrogen_deficiency
31.0,25.0,38.0,6.497366677,33,17.91,healthy
21.0,21.0,38.0,6.327673765,47,18.03,phosphorus_deficiency
6.0,30.0,40.0,6.36137446,27,18.03,nitrogen_deficiency
25.0,27.0,41.0,6.923509371,73,18.02,healthy
15.0,11.0,38.0,6.630646083,7,17.91,nitrogen_deficiency
14.0,5.0,36.0,5.832525853,49,17.8,nitrogen_deficiency
16.0,10.0,41.0,6.738993954,83,17.66,nitrogen_deficiency
36.0,7.0,37.0,5.782435567,8,17.53,phosphorus_deficiency
4.0,20.0,41.0,6.537042717,85,17.48,nitrogen_deficiency
29.0,22.0,40.0,6.145104401,36,17.43,phosphorus_deficiency
16.0,15.0,42.0,6.890784045,18,17.4,nitrogen_deficiency
18.0,27.0,41.0,7.175344328,66,17.37,healthy
11.0,18.0,42.0,5.938528744,89,17.34,nitrogen_deficiency
5.0,15.0,38.0,5.709380472,48,17.54,nitrogen_deficiency
18.0,23.0,44.0,6.184400085,57,17.74,phosphorus_deficiency
9.0,8.0,40.0,6.553509673,1,18.1,nitrogen_deficiency
40.0,27.0,45.0,5.885638185,53,18.45,healthy
22.0,23.0,44.0,6.143874691,37,18.62,phosphorus_deficiency
9.0,16.0,39.0,6.101198974,65,18.8,nitrogen_deficiency
12.0,29.0,40.0,6.594037135,35,18.77,nitrogen_deficiency
0.0,17.0,42.0,6.859840821,23,18.74,nitrogen_deficiency
2.0,21.0,44.0,6.56893406,69,18.76,nitrogen_deficiency
28.0,6.0,40.0,6.769855664,45,18.77,phosphorus_deficiency
8.0,23.0,44.0,7.130837931,7,18.72,nitrogen_deficiency
29.0,16.0,36.0,5.740338002,21,18.66,phosphorus_deficiency
17.0,18.0,43.0,5.843005428,36,18.64,phosphorus_deficiency
34.0,21.0,42.0,6.648687274,64,18.62,phosphorus_deficiency
21.0,23.0,42.0,6.902751061,8,18.58,phosphorus_deficiency
25.0,17.0,40.0,6.608023872,59,18.55,phosphorus_deficiency
8.0,25.0,36.0,6.828522375,8,18.42,nitrogen_deficiency
26.0,18.0,42.0,6.910374919,19,18.29,phosphorus_deficiency
4.0,19.0,42.0,6.306605528,63,18.18,nitrogen_deficiency
36.0,24.0,41.0,7.009180374,64,18.08,healthy
5.0,24.0,40.0,6.297907579,81,17.98,nitrogen_deficiency
19.0,17.0,39.0,6.728599215,3,17.88,phosphorus_deficiency
39.0,30.0,38.0,6.965156738,56,17.88,healthy
5.0,29.0,44.0,5.578095745,41,17.88,nitrogen_deficiency
4.0,24.0,43.0,7.199504273,44,18.0,nitrogen_deficiency
38.0,21.0,35.0,5.841367187,29,18.13,phosphorus_deficiency
37.0,11.0,36.0,6.710143266,43,18.1,phosphorus_deficiency
9.0,25.0,41.0,5.972714857,5,18.08,nitrogen_deficiency
29.0,22.0,43.0,5.561851831,2,18.04,phosphorus_deficiency
5.0,21.0,38.0,6.107054808,64,18.01,nitrogen_deficiency
22.0,26.0,38.0,6.988035315,45,17.98,healthy
4.0,18.0,37.0,7.13147457,68,17.94,nitrogen_deficiency
21.0,6.0,41.0,7.086947687,36,17.9,phosphorus_deficiency
29.0,21.0,45.0,6.749260456,78,17.87,phosphorus_deficiency
23.0,5.0,44.0,7.16300467,53,17.76,phosphorus_deficiency
13.0,7.0,43.0,7.013481515,53,17.64,nitrogen_deficiency
5.0,13.0,37.0,5.648243649,17,17.57,nitrogen_deficiency
27.0,24.0,41.0,6.610251186,32,17.5,healthy
7.0,23.0,35.0,7.054313823,39,17.45,nitrogen_deficiency
12.0,20.0,39.0,6.026999326,18,17.4,nitrogen_deficiency
4.0,19.0,43.0,5.779427402,66,17.62,nitrogen_deficiency
3.0,9.0,45.0,6.535244251,64,17.84,nitrogen_deficiency
1.0,27.0,36.0,5.684995235,67,18.24,nitrogen_deficiency
23.0,30.0,44.0,6.12476108,15,18.63,healthy
24.0,21.0,42.0,6.999014379,19,19.11,phosphorus_deficiency
13.0,30.0,37.0,6.277148771,89,19.59,nitrogen_deficiency
40.0,11.0,44.0,6.322396027,64,20.19,phosphorus_deficiency
21.0,9.0,40.0,5.956401828,42,20.78,phosphorus_deficiency
3.0,27.0,44.0,6.591302797,68,21.3,nitrogen_deficiency
40.0,29.0,42.0,7.104094929,74,21.82,healthy
14.0,25.0,40.0,6.407872061,76,22.34,nitrogen_deficiency
38.0,14.0,37.0,6.658402594,19,22.86,phosphorus_deficiency
34.0,9.0,36.0,6.276038961,16,23.38,phosphorus_deficiency
32.0,14.0,37.0,6.825256236,41,23.93,phosphorus_deficiency
18.0,21.0,35.0,6.368560522,90,24.48,phosphorus_deficiency
8.0,23.0,38.0,7.005410734,3,24.8,nitrogen_deficiency
15.0,6.0,41.0,6.897368477,17,25.13,nitrogen_deficiency
0.0,5.0,36.0,6.152906502,89,25.52,nitrogen_deficiency
22.0,9.0,44.0,5.744361602,8,25.92,phosphorus_deficiency
14.0,8.0,43.0,7.051654924,5,26.23,nitrogen_deficiency
31.0,11.0,45.0,6.034612928,10,26.54,phosphorus_deficiency
39.0,17.0,45.0,6.924490731,77,26.86,phosphorus_deficiency
10.0,5.0,42.0,6.887005997,12,27.17,nitrogen_deficiency
8.0,28.0,38.0,6.8444019,83,27.89,nitrogen_deficiency
32.0,13.0,42.0,5.786058032,7,28.61,phosphorus_deficiency
18.0,9.0,40.0,5.627186257,57,28.88,phosphorus_deficiency
20.0,27.0,41.0,5.700088663,19,29.15,healthy
39.0,25.0,36.0,5.567805185,80,29.28,ph_stress_acidic
20.0,7.0,45.0,6.077886012,77,29.41,phosphorus_deficiency
11.0,10.0,45.0,6.397995609,36,29.44,nitrogen_deficiency
40.0,18.0,43.0,5.767372539,32,29.48,phosphorus_deficiency
3.0,26.0,39.0,7.079973241,60,29.78,nitrogen_deficiency
9.0,16.0,36.0,5.893332378,6,30.07,nitrogen_deficiency
30.0,20.0,38.0,7.058222596,42,30.47,phosphorus_deficiency
40.0,9.0,41.0,5.78270695,90,30.87,phosphorus_deficiency
40.0,30.0,35.0,6.269663963,65,30.91,healthy
32.0,25.0,35.0,5.892913826,52,30.95,healthy
33.0,23.0,45.0,7.116538883,71,30.99,phosphorus_deficiency
4.0,14.0,41.0,6.430163481,32,31.03,nitrogen_deficiency
13.0,17.0,45.0,7.159520979,73,31.28,nitrogen_deficiency
39.0,24.0,39.0,6.431265737,77,31.53,healthy
8.0,28.0,37.0,6.082571701,8,31.78,nitrogen_deficiency
91.0,94.0,46.0,6.149934034,61,32.03,healthy
105.0,95.0,50.0,5.849076099,71,32.12,healthy
108.0,92.0,53.0,6.276800323,87,32.2,healthy
86.0,76.0,54.0,5.926824754,70,32.3,healthy
80.0,77.0,49.0,5.519088423,36,32.41,ph_stress_acidic
93.0,94.0,53.0,6.079178788,15,32.57,healthy
90.0,92.0,55.0,6.13465588,78,32.73,healthy
108.0,89.0,53.0,5.808497604,46,32.83,healthy
108.0,88.0,55.0,5.891458107,41,32.93,healthy
105.0,77.0,52.0,5.816622479,81,33.01,healthy
118.0,88.0,52.0,5.843163161,1,33.09,water_stress
101.0,87.0,54.0,6.376756633,83,32.96,healthy
95.0,75.0,50.0,5.623615687,40,32.82,ph_stress_acidic
106.0,85.0,53.0,5.91505509,75,33.28,healthy
86.0,95.0,49.0,6.458714879,35,33.74,healthy
83.0,79.0,55.0,5.565028635,51,33.67,ph_stress_acidic
85.0,95.0,47.0,6.211833161,69,33.59,healthy
109.0,79.0,45.0,6.490074429,87,32.88,healthy
100.0,76.0,45.0,5.590236025,89,32.17,ph_stress_acidic
117.0,86.0,48.0,6.225225239,31,31.6,healthy
114.0,94.0,53.0,6.190757459,66,31.04,healthy
110.0,78.0,50.0,5.915568968,48,31.13,healthy
94.0,70.0,48.0,6.195152442,79,31.22,healthy
80.0,71.0,47.0,6.156373499,9,31.52,water_stress
114.0,79.0,51.0,6.313197204,52,31.82,healthy
88.0,78.0,45.0,6.324270089,87,31.16,healthy
112.0,73.0,48.0,5.707488987,1,30.5,water_stress
117.0,76.0,47.0,6.119216009,48,31.05,healthy
111.0,87.0,48.0,5.571401169,90,31.6,ph_stress_acidic
89.0,83.0,47.0,5.63127166,7,32.1,water_stress
93.0,91.0,47.0,6.101241579,59,32.48,healthy
92.0,81.0,52.0,6.438137279,7,32.87,water_stress
105.0,74.0,45.0,6.098369122,57,32.87,healthy
102.0,71.0,48.0,5.695267822,51,32.87,healthy
94.0,91.0,51.0,5.618094446,19,32.23,ph_stress_acidic
116.0,71.0,47.0,6.435785799,84,31.59,healthy
117.0,79.0,49.0,6.176644228,68,31.54,healthy
119.0,72.0,55.0,6.220643671,44,31.5,healthy
99.0,73.0,53.0,5.871702211,25,31.16,healthy
91.0,84.0,52.0,6.390741836,37,30.83,healthy
80.0,90.0,47.0,6.21084479,66,31.18,healthy
101.0,70.0,48.0,6.012696655,80,31.54,healthy
108.0,89.0,53.0,5.908770059,9,31.79,water_stress
100.0,80.0,52.0,6.049801781,66,32.04,healthy
109.0,91.0,53.0,6.010095853,82,32.18,healthy
82.0,78.0,46.0,5.738678895,36,32.32,healthy
106.0,70.0,55.0,5.74055541,55,32.41,healthy
90.0,86.0,52.0,5.793260262,82,32.5,healthy
83.0,95.0,50.0,5.50947065,55,32.19,ph_stress_acidic
119.0,90.0,48.0,5.986442306,32,31.88,healthy
107.0,72.0,45.0,5.790768046,90,31.92,healthy
116.0,81.0,55.0,5.915546415,65,31.97,healthy
101.0,75.0,50.0,6.242528278,71,32.08,healthy
93.0,81.0,50.0,6.036079266,3,32.19,water_stress
95.0,75.0,45.0,5.829898502,24,32.06,healthy
107.0,71.0,55.0,6.088064451,15,31.94,healthy
83.0,94.0,47.0,6.469370954,77,31.86,healthy
102.0,73.0,54.0,5.720726906,82,31.79,healthy
86.0,79.0,45.0,5.80766417,1,31.8,water_stress
117.0,86.0,53.0,5.703381728,51,31.8,healthy
111.0,79.0,53.0,6.165001278,10,31.52,water_stress
95.0,74.0,50.0,6.002481605,89,31.24,healthy
91.0,75.0,55.0,6.212369363,54,30.96,healthy
93.0,83.0,46.0,5.765308943,70,30.68,healthy
92.0,85.0,51.0,5.740764682,71,31.0,healthy
104.0,80.0,54.0,5.879119455,59,31.33,healthy
103.0,72.0,51.0,6.099478745,71,31.06,healthy
92.0,75.0,45.0,5.674403359,10,30.78,water_stress
93.0,85.0,49.0,5.694243847,65,30.5,healthy
120.0,87.0,52.0,5.905494703,68,30.23,healthy
108.0,72.0,46.0,6.110844721,54,29.96,healthy
105.0,88.0,54.0,6.020445317,49,29.68,healthy
98.0,79.0,50.0,6.435917308,54,29.38,healthy
111.0,88.0,55.0,5.505393833,12,29.07,ph_stress_acidic
97.0,74.0,45.0,5.677719902,30,29.44,healthy
95.0,82.0,48.0,5.719014989,50,29.8,healthy
89.0,91.0,55.0,6.275572298,7,29.83,water_stress
89.0,85.0,55.0,6.275384607,16,29.85,healthy
118.0,88.0,51.0,6.201911642,73,29.64,healthy
101.0,92.0,45.0,5.758054257,77,29.43,healthy
99.0,92.0,47.0,6.323933647,7,28.94,water_stress
82.0,77.0,46.0,5.901100841,52,28.46,healthy
90.0,86.0,55.0,5.644486582,57,28.36,healthy
95.0,88.0,52.0,6.235461772,9,28.27,water_stress
104.0,73.0,46.0,6.28236237,63,28.04,healthy
102.0,73.0,52.0,6.356090905,1,27.8,water_stress
100.0,74.0,52.0,5.837258235,9,27.76,water_stress
94.0,89.0,48.0,5.653437902,17,27.73,healthy
99.0,70.0,46.0,5.727469947,44,27.54,healthy
112.0,87.0,48.0,6.200111068,89,27.35,healthy
117.0,82.0,45.0,5.614471478,64,27.26,ph_stress_acidic
96.0,86.0,51.0,6.257369799,14,27.16,healthy
113.0,85.0,45.0,6.037430836,13,27.04,water_stress
105.0,93.0,46.0,5.760457558,52,26.91,healthy
85.0,89.0,51.0,6.158164422,57,26.74,healthy
108.0,94.0,47.0,6.387431383,7,26.57,water_stress
92.0,81.0,52.0,5.891413895,39,26.48,healthy
110.0,71.0,54.0,5.725418961,78,26.39,healthy
82.0,75.0,55.0,6.281069505,47,26.26,healthy
117.0,81.0,53.0,5.507641778,62,26.12,ph_stress_acidic
2.0,40.0,27.0,5.954626604,13,26.0,nitrogen_deficiency
39.0,24.0,31.0,4.757114897,80,25.87,ph_stress_acidic
21.0,26.0,27.0,5.699586972,32,25.78,healthy
25.0,22.0,25.0,5.977413803,90,25.69,phosphorus_deficiency
0.0,21.0,32.0,6.430139436,75,25.58,nitrogen_deficiency
20.0,19.0,35.0,6.113935087,10,25.46,phosphorus_deficiency
19.0,21.0,34.0,5.074272692,55,25.48,phosphorus_deficiency
18.0,17.0,31.0,5.667507706,73,25.5,phosphorus_deficiency
11.0,36.0,33.0,5.978634285,29,25.37,nitrogen_deficiency
30.0,28.0,30.0,5.064613314,24,25.23,ph_stress_acidic
18.0,19.0,27.0,4.772385986,30,25.1,phosphorus_deficiency
23.0,23.0,27.0,5.161148592,19,24.98,phosphorus_deficiency
37.0,30.0,34.0,6.797779227,29,24.85,healthy
11.0,27.0,30.0,6.39474303,42,24.68,nitrogen_deficiency
12.0,19.0,31.0,5.566704378,31,24.52,nitrogen_deficiency
3.0,28.0,33.0,5.755049971,48,24.26,nitrogen_deficiency
37.0,38.0,32.0,5.417340525,62,24.01,ph_stress_acidic
26.0,37.0,30.0,6.166173834,12,24.0,water_stress
14.0,18.0,30.0,5.191265116,85,23.98,nitrogen_deficiency
40.0,16.0,35.0,4.954739564,9,24.01,phosphorus_deficiency
4.0,20.0,25.0,5.664587011,45,24.04,nitrogen_deficiency
36.0,25.0,33.0,5.548584852,86,24.06,ph_stress_acidic
30.0,17.0,31.0,6.804437106,47,24.09,phosphorus_deficiency
28.0,37.0,28.0,6.097869767,45,24.03,healthy
38.0,15.0,30.0,5.075504537,60,23.97,phosphorus_deficiency
12.0,37.0,30.0,4.546466109,77,23.89,nitrogen_deficiency
38.0,19.0,31.0,5.855119268,56,23.81,phosphorus_deficiency
8.0,33.0,29.0,6.442393461,8,23.68,nitrogen_deficiency
15.0,27.0,28.0,4.507523551,8,23.55,nitrogen_deficiency
34.0,16.0,25.0,6.10729559,35,23.5,phosphorus_deficiency
11.0,36.0,31.0,6.47544932,6,23.45,nitrogen_deficiency
33.0,29.0,34.0,6.832979509,72,23.3,healthy
12.0,31.0,26.0,5.395275719,8,23.16,nitrogen_deficiency
12.0,34.0,28.0,6.13526938,76,23.01,nitrogen_deficiency
5.0,16.0,31.0,4.555688532,34,22.86,nitrogen_deficiency
1.0,30.0,29.0,6.434197756,63,22.83,nitrogen_deficiency
16.0,35.0,31.0,5.316875978,14,22.8,nitrogen_deficiency
35.0,18.0,26.0,5.279388967,74,22.74,phosphorus_deficiency
4.0,40.0,26.0,6.720041791,41,22.69,nitrogen_deficiency
9.0,29.0,34.0,5.72742254,90,22.61,nitrogen_deficiency
2.0,38.0,33.0,4.691396195,44,22.53,nitrogen_deficiency
26.0,32.0,32.0,6.810186079,12,22.51,water_stress
34.0,38.0,31.0,6.454045329,13,22.49,water_stress
5.0,32.0,33.0,5.842763773,21,22.41,nitrogen_deficiency
31.0,29.0,26.0,5.024124684,69,22.33,ph_stress_acidic
34.0,34.0,35.0,6.422710539,60,22.32,healthy
36.0,19.0,32.0,4.94295037,84,22.32,phosphorus_deficiency
7.0,17.0,26.0,6.414526606,21,22.3,nitrogen_deficiency
38.0,15.0,27.0,6.777788126,62,22.27,phosphorus_deficiency
5.0,19.0,25.0,6.441328044,67,22.2,nitrogen_deficiency
37.0,36.0,26.0,4.650536197,69,22.13,ph_stress_acidic
21.0,31.0,32.0,5.254532213,55,22.04,ph_stress_acidic
37.0,36.0,27.0,5.910634533,78,21.94,healthy
23.0,23.0,30.0,4.755273631,30,21.85,phosphorus_deficiency
36.0,26.0,26.0,6.814630246,67,21.76,healthy
24.0,33.0,35.0,5.342866119,58,21.53,ph_stress_acidic
26.0,18.0,30.0,6.336234624,66,21.3,phosphorus_deficiency
22.0,17.0,26.0,4.754435025,70,21.23,phosphorus_deficiency
11.0,34.0,32.0,6.831706773,2,21.17,nitrogen_deficiency
29.0,35.0,28.0,6.967417766,20,21.1,healthy
22.0,28.0,26.0,4.947683034,79,21.03,ph_stress_acidic
23.0,24.0,32.0,5.630619901,80,20.97,healthy
1.0,35.0,34.0,6.27339822,72,20.9,nitrogen_deficiency
2.0,24.0,34.0,6.472774648,60,20.79,nitrogen_deficiency
39.0,37.0,25.0,6.953246506,16,20.67,healthy
15.0,36.0,27.0,5.643710216,9,20.56,nitrogen_deficiency
3.0,18.0,31.0,6.392313973,39,20.45,nitrogen_deficiency
8.0,38.0,32.0,4.981816523,83,20.29,nitrogen_deficiency
33.0,31.0,34.0,5.421265283,39,20.13,ph_stress_acidic
14.0,29.0,32.0,6.942520105,55,19.97,nitrogen_deficiency
18.0,20.0,26.0,5.435840509,24,19.81,phosphorus_deficiency
9.0,21.0,32.0,5.870116071,69,19.68,nitrogen_deficiency
20.0,30.0,27.0,4.74910393,62,19.56,ph_stress_acidic
9.0,38.0,25.0,5.497946899,18,19.5,nitrogen_deficiency
26.0,24.0,34.0,6.811291098,35,19.44,healthy
31.0,36.0,29.0,6.460542749,59,19.44,healthy
14.0,18.0,35.0,4.791146778,30,19.43,nitrogen_deficiency
40.0,16.0,35.0,6.4841522,37,19.38,phosphorus_deficiency
28.0,27.0,34.0,6.526654345,51,19.34,healthy
0.0,17.0,30.0,6.279133738,42,19.31,nitrogen_deficiency
1.0,29.0,29.0,6.052026047,57,19.28,nitrogen_deficiency
2.0,36.0,31.0,5.73171945,61,19.37,nitrogen_deficiency
12.0,27.0,26.0,5.32307197,68,19.46,nitrogen_deficiency
7.0,28.0,35.0,4.66910839,21,19.41,nitrogen_deficiency
0.0,36.0,26.0,5.101206389,43,19.36,nitrogen_deficiency
26.0,35.0,31.0,5.339556562,6,19.34,ph_stress_acidic
27.0,21.0,30.0,5.061081874,66,19.31,phosphorus_deficiency
22.0,38.0,31.0,5.821106036,87,19.29,healthy
22.0,18.0,31.0,5.956027059,18,19.2,phosphorus_deficiency
28.0,23.0,28.0,5.676032581,67,19.1,phosphorus_deficiency
7.0,31.0,27.0,6.524114355,79,19.05,nitrogen_deficiency
29.0,34.0,26.0,6.273953676,42,18.99,healthy
8.0,37.0,33.0,6.128167757,11,18.94,nitrogen_deficiency
39.0,16.0,27.0,4.934964765,9,18.89,phosphorus_deficiency
40.0,24.0,25.0,5.445008416,21,18.83,ph_stress_acidic
19.0,38.0,26.0,4.525722333,57,18.76,ph_stress_acidic
21.0,21.0,30.0,5.403908328,52,18.71,phosphorus_deficiency
22.0,18.0,33.0,6.621623545,89,18.66,phosphorus_deficiency
31.0,20.0,30.0,6.207495815,1,18.54,phosphorus_deficiency
18.0,26.0,31.0,5.418475257,77,18.41,ph_stress_acidic
24.0,130.0,195.0,6.112305667,85,18.38,healthy
13.0,144.0,204.0,6.092241627,38,18.34,nitrogen_deficiency
22.0,123.0,205.0,5.896343436,9,18.31,water_stress
36.0,125.0,196.0,6.15526103,10,18.28,water_stress
24.0,131.0,196.0,5.732453638,27,18.24,healthy
2.0,123.0,198.0,6.253034534,31,18.21,nitrogen_deficiency
35.0,140.0,197.0,6.106190557,24,18.19,healthy
11.0,122.0,195.0,5.647202395,6,18.16,nitrogen_deficiency
6.0,123.0,203.0,6.130310493,67,18.15,nitrogen_deficiency
17.0,134.0,204.0,6.499604931,46,18.14,healthy
25.0,130.0,197.0,5.554831977,3,18.14,ph_stress_acidic
27.0,145.0,205.0,5.800242694,12,18.13,water_stress
9.0,122.0,201.0,5.570290539,73,18.03,nitrogen_deficiency
16.0,139.0,203.0,6.27564088,74,17.93,nitrogen_deficiency
32.0,141.0,204.0,5.536645599,72,17.84,ph_stress_acidic
22.0,138.0,195.0,6.208196881,87,17.74,healthy
31.0,144.0,202.0,5.870600622,1,17.61,water_stress
3.0,136.0,205.0,6.334771461,69,17.48,nitrogen_deficiency
28.0,122.0,197.0,5.856575335,29,17.34,healthy
4.0,136.0,204.0,5.898944282,25,17.2,nitrogen_deficiency
39.0,145.0,201.0,5.775600435,86,17.13,healthy
38.0,132.0,197.0,5.931101816,44,17.06,healthy
36.0,133.0,198.0,6.2286454,20,16.99,healthy
25.0,121.0,201.0,5.594240603,70,16.92,ph_stress_acidic
15.0,125.0,199.0,5.569230319,38,16.88,nitrogen_deficiency
24.0,140.0,205.0,5.93202852,81,16.83,healthy
13.0,132.0,203.0,6.423216506,45,16.76,nitrogen_deficiency
5.0,126.0,197.0,6.417500829,35,16.69,nitrogen_deficiency
30.0,120.0,200.0,6.234904253,73,16.61,healthy
23.0,142.0,197.0,6.000573725,85,16.53,healthy
26.0,135.0,203.0,5.685102769,33,16.42,healthy
7.0,126.0,203.0,5.662140095,52,16.32,nitrogen_deficiency
32.0,139.0,198.0,6.358186848,26,16.26,cold_stress
9.0,141.0,202.0,6.119495295,41,16.21,nitrogen_deficiency
20.0,142.0,196.0,6.207600783,83,16.12,cold_stress
32.0,129.0,201.0,6.48754639,13,16.04,water_stress
3.0,134.0,199.0,5.81717753,52,15.98,nitrogen_deficiency
38.0,138.0,204.0,6.325480034,37,15.93,cold_stress
14.0,131.0,198.0,5.562790949,75,15.87,nitrogen_deficiency
20.0,122.0,204.0,6.487369687,72,15.82,cold_stress
40.0,126.0,201.0,6.116982944,46,15.77,cold_stress
36.0,128.0,204.0,5.695792761,66,15.75,cold_stress
11.0,132.0,197.0,5.734317007,39,15.73,nitrogen_deficiency
0.0,137.0,195.0,6.329499832,57,15.83,nitrogen_deficiency
19.0,123.0,200.0,6.167013532,31,15.93,cold_stress
31.0,136.0,197.0,5.653776058,72,15.8,cold_stress
4.0,134.0,200.0,5.840256272,36,15.67,nitrogen_deficiency
39.0,139.0,201.0,5.539980812,73,15.84,ph_stress_acidic
8.0,127.0,196.0,5.833302165,5,16.02,nitrogen_deficiency
39.0,138.0,203.0,6.399433771,9,16.5,water_stress
32.0,120.0,204.0,6.138958698,29,16.98,healthy
12.0,142.0,203.0,5.972850838,45,17.33,nitrogen_deficiency
8.0,133.0,195.0,6.456079585,48,17.67,nitrogen_deficiency
8.0,139.0,199.0,6.336426667,14,18.08,nitrogen_deficiency
21.0,134.0,202.0,6.425419926,7,18.49,water_stress
40.0,140.0,195.0,6.294395676,13,18.97,water_stress
39.0,127.0,202.0,6.477768039,70,19.45,healthy
19.0,120.0,195.0,5.931538447,35,19.94,healthy
21.0,139.0,201.0,5.980598579,86,20.43,healthy
17.0,136.0,195.0,6.389783283,13,21.11,water_stress
33.0,139.0,203.0,5.693287415,8,21.79,water_stress
22.0,133.0,201.0,6.00299607,42,22.47,healthy
32.0,130.0,196.0,6.372959542,69,23.15,healthy
37.0,135.0,205.0,5.510924849,20,23.62,ph_stress_acidic
15.0,140.0,195.0,5.69945282,52,24.09,nitrogen_deficiency
39.0,132.0,196.0,5.778594403,71,24.51,healthy
40.0,121.0,199.0,6.315586313,63,24.92,healthy
40.0,132.0,202.0,5.971813006,4,25.36,water_stress
29.0,142.0,203.0,5.891195653,60,25.8,healthy
32.0,121.0,199.0,6.129812716,54,26.16,healthy
6.0,140.0,205.0,6.313085601,83,26.51,nitrogen_deficiency
8.0,120.0,196.0,6.053662544,27,26.77,nitrogen_deficiency
34.0,133.0,202.0,5.804799142,35,27.03,healthy
35.0,135.0,199.0,6.400719746,37,26.85,healthy
16.0,145.0,199.0,5.953966361,12,26.67,nitrogen_deficiency
8.0,136.0,201.0,5.609255992,24,26.84,nitrogen_deficiency
25.0,129.0,195.0,5.777271492,55,27.02,healthy
16.0,130.0,201.0,5.682395429,21,27.54,nitrogen_deficiency
39.0,129.0,203.0,5.863996687,28,28.06,healthy
38.0,135.0,203.0,6.444373116,12,28.17,water_stress
33.0,120.0,205.0,5.550832178,70,28.29,ph_stress_acidic
35.0,125.0,204.0,6.107741788,10,28.56,water_stress
1.0,132.0,200.0,5.620745638,32,28.84,nitrogen_deficiency
39.0,140.0,203.0,6.349875906,36,28.85,healthy
28.0,145.0,202.0,6.484323189,36,28.86,healthy
6.0,128.0,200.0,5.838748311,40,28.82,nitrogen_deficiency
6.0,139.0,199.0,6.29099842,81,28.78,nitrogen_deficiency
29.0,122.0,196.0,5.638328481,60,29.16,healthy
37.0,144.0,197.0,6.415555956,63,29.55,healthy
38.0,120.0,197.0,6.323722572,52,29.6,healthy
38.0,141.0,198.0,5.757009965,12,29.64,water_stress
14.0,121.0,203.0,6.158689406,31,30.02,nitrogen_deficiency
6.0,125.0,204.0,5.733539807,70,30.39,nitrogen_deficiency
32.0,138.0,197.0,5.908724337,77,30.74,healthy
11.0,124.0,204.0,6.361141107,65,31.08,nitrogen_deficiency
23.0,138.0,200.0,5.96537863,42,31.25,healthy
40.0,143.0,201.0,6.476757723,79,31.42,healthy
6.0,142.0,202.0,6.224542938,84,31.27,nitrogen_deficiency
37.0,124.0,195.0,6.209928251,52,31.12,healthy
35.0,134.0,204.0,5.841138354,58,31.18,healthy
119.0,25.0,51.0,6.283818329,65,31.24,healthy
119.0,19.0,55.0,6.818261383,49,31.26,phosphorus_deficiency
105.0,30.0,50.0,6.37620108,32,31.28,healthy
114.0,8.0,50.0,6.581587932,1,31.31,phosphorus_deficiency
93.0,22.0,52.0,6.932739726,4,31.33,phosphorus_deficiency
80.0,26.0,55.0,6.140099215,30,31.06,healthy
85.0,27.0,45.0,6.467095849,67,30.79,healthy
85.0,22.0,53.0,6.849471704,89,30.52,phosphorus_deficiency
82.0,22.0,45.0,6.512196212,63,30.25,phosphorus_deficiency
118.0,13.0,54.0,6.039584629,24,30.17,phosphorus_deficiency
83.0,25.0,53.0,6.057697106,70,30.08,healthy
86.0,15.0,47.0,6.423898762,37,30.0,phosphorus_deficiency
101.0,10.0,47.0,6.936997681,45,29.92,phosphorus_deficiency
119.0,9.0,50.0,6.251286661,65,30.16,phosphorus_deficiency
104.0,17.0,46.0,6.190015912,1,30.41,phosphorus_deficiency
95.0,12.0,51.0,6.681606702,88,30.46,phosphorus_deficiency
102.0,14.0,52.0,6.51075991,63,30.51,phosphorus_deficiency
109.0,21.0,55.0,6.770278088,9,30.56,phosphorus_deficiency
81.0,18.0,50.0,6.429788073,56,30.61,phosphorus_deficiency
103.0,17.0,51.0,6.209888345,20,30.65,phosphorus_deficiency
